"case","regime","k","preparation","classical","stress"
"paraboloid-disk-rep2-n240-r2","geodesic",32,1.223,0.0129999999999999,0.428000000000001
"paraboloid-disk-rep2-n240-r2","geodesic",4,0.64,0.0150000000000001,1.613
"paraboloid-disk-rep2-n240-r2","geodesic",64,2.126,0.0140000000000029,0.428000000000001
"paraboloid-disk-rep2-n240-r2","geodesic",8,0.624,0.0129999999999999,0.37
"paraboloid-disk-rep2-n240-r32","ambient",128,3.946,0.0130000000000052,1.80600000000001
"paraboloid-disk-rep2-n240-r32","ambient",16,0.829000000000008,0.0150000000000148,2.70000000000002
"paraboloid-disk-rep2-n240-r32","ambient",239,6.15000000000001,0.0110000000000241,1.87200000000001
"paraboloid-disk-rep2-n240-r32","ambient",32,1.22,0.0139999999999816,1.672
"paraboloid-disk-rep2-n240-r32","ambient",4,0.591999999999985,0.0149999999999864,2.816
"paraboloid-disk-rep2-n240-r32","ambient",64,2.08500000000001,0.01400000000001,1.70599999999999
"paraboloid-disk-rep2-n240-r32","ambient",8,0.642000000000024,0.01400000000001,2.518
"paraboloid-disk-rep2-n240-r32","geodesic",128,3.977,0.0139999999999958,2.249
"paraboloid-disk-rep2-n240-r32","geodesic",16,0.827,0.0129999999999999,2.464
"paraboloid-disk-rep2-n240-r32","geodesic",239,6.18900000000001,0.01400000000001,2.30500000000001
"paraboloid-disk-rep2-n240-r32","geodesic",32,1.285,0.0150000000000006,1.825
"paraboloid-disk-rep2-n240-r32","geodesic",4,0.68,0.0139999999999998,3.713
"paraboloid-disk-rep2-n240-r32","geodesic",64,2.017,0.0140000000000029,1.747
"paraboloid-disk-rep2-n240-r32","geodesic",8,0.635,0.0129999999999999,2.459
"paraboloid-disk-rep2-n240-r4","ambient",128,4.28899999999999,0.01400000000001,0.478000000000009
"paraboloid-disk-rep2-n240-r4","ambient",16,0.837999999999994,0.0139999999999816,0.459000000000003
"paraboloid-disk-rep2-n240-r4","ambient",239,6.08000000000001,0.0100000000000193,0.390999999999991
"paraboloid-disk-rep2-n240-r4","ambient",32,1.21699999999998,0.01400000000001,0.429000000000002
"paraboloid-disk-rep2-n240-r4","ambient",4,0.586000000000013,0.0159999999999911,0.548000000000002
"paraboloid-disk-rep2-n240-r4","ambient",64,2.13900000000001,0.0139999999999816,0.359000000000009
"paraboloid-disk-rep2-n240-r4","ambient",8,0.602000000000004,0.0130000000000052,0.393000000000001
"paraboloid-disk-rep2-n240-r4","geodesic",128,3.95,0.0150000000000006,0.345999999999997
"paraboloid-disk-rep2-n240-r4","geodesic",16,0.802,0.0139999999999993,0.428000000000001
"paraboloid-disk-rep2-n240-r4","geodesic",239,6.09999999999999,0.0150000000000006,0.437999999999988
"paraboloid-disk-rep2-n240-r4","geodesic",32,1.215,0.0129999999999999,0.364000000000001
"paraboloid-disk-rep2-n240-r4","geodesic",4,0.649,0.0140000000000002,1.614
"paraboloid-disk-rep2-n240-r4","geodesic",64,2.133,0.0129999999999981,0.338999999999999
"paraboloid-disk-rep2-n240-r4","geodesic",8,0.594,0.0129999999999999,0.398000000000001
"paraboloid-disk-rep2-n240-r64","ambient",128,4.095,0.0149999999999864,1.48699999999999
"paraboloid-disk-rep2-n240-r64","ambient",16,0.828000000000003,0.0150000000000148,1.56399999999999
