"case","surface","sampling","replicate","n","radius","regime","k","start","initialization","initial_raw_stress","raw_stress","normalized_stress","iterations","converged","termination","backend_stress","warnings","error","selected","initialization_description"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",16,2,"random",76871.9911302174,1392.59592421025,0.00537194900791511,84,TRUE,"stress_tolerance",0.0732935809461861,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",16,3,"random",75198.6890051525,1392.59642719237,0.00537195094817231,79,TRUE,"stress_tolerance",0.0732935941823862,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",239,1,"supplied",7.83258692362959e-26,7.60103209802425e-24,3.954842366385e-29,1,TRUE,"stress_tolerance",6.29736292650131e-15,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",239,2,"random",52469.8958287501,0.00696866296745257,3.62581859743802e-08,89,TRUE,"stress_tolerance",0.000190415823868034,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",239,3,"random",51030.0987267249,0.00665393807701165,3.46206618665749e-08,85,TRUE,"stress_tolerance",0.000186066283541925,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",32,1,"supplied",1403.95754812229,1312.05602620545,0.00528915258413126,21,TRUE,"stress_tolerance",0.0727265603760504,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",32,2,"random",73465.8902841743,1312.05671040593,0.00528915534227623,83,TRUE,"stress_tolerance",0.0727265793384798,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",32,3,"random",71878.4765938217,1312.05716678434,0.00528915718202622,80,TRUE,"stress_tolerance",0.0727265919868815,"","",FALSE,"Gaussian"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",4,1,"supplied",2527.6236746518,1856.58934076092,0.00442027008417809,59,TRUE,"stress_tolerance",0.066485111748256,"","",TRUE,"classical"
"paraboloid-disk-rep1-n240-r2","paraboloid","disk",1,240,2,"ambient",4,2,"random",132185.225540373,1856.64908921827,0.00442041233659376,171,TRUE,"stress_tolerance",0.0664861815461964,"","",FALSE,"Gaussian"
