surface,sampling,regime,radius,method,min,median,max
paraboloid,disk,geodesic,8,stress_fixed_primary,0.997636037094311,0.999520309528174,1.00148905558184
paraboloid,disk,geodesic,8,stress_fixed_uniform,0.997636037409275,0.999520240037852,1.00126767489797
paraboloid,disk,geodesic,8,stress_primary,0.0580379433430469,0.900089968193048,1.40836785200642
paraboloid,disk,geodesic,8,stress_uniform,0.0921072119888129,0.836023352390854,1.40747822827501
paraboloid,disk,geodesic,16,classical,1.00421480846447,1.0778763131617,1.31887828944871
paraboloid,disk,geodesic,16,classical_fixed_primary,0.99714850782026,0.999630621169778,1.00371129622174
paraboloid,disk,geodesic,16,classical_fixed_uniform,0.997151339834621,0.999629894341044,1.00391328487024
paraboloid,disk,geodesic,16,classical_primary,0.390015434613326,0.837722718615465,1.39048424769893
paraboloid,disk,geodesic,16,classical_uniform,0.354615089320796,0.79528649621297,1.403927650094
paraboloid,disk,geodesic,16,full_classical,1.00421480846447,1.11781556975059,1.21949395927668
paraboloid,disk,geodesic,16,full_classical_fixed_primary,0.997150091486674,0.999628426326713,1.00008721360477
paraboloid,disk,geodesic,16,full_classical_fixed_uniform,0.997154479057792,0.999626197789243,1.00007393497401
paraboloid,disk,geodesic,16,full_classical_primary,0.39042002966597,0.833537170777126,1.16743778917852
paraboloid,disk,geodesic,16,full_classical_uniform,0.355800873329827,0.79528649621297,1.16740468787876
paraboloid,disk,geodesic,16,original,0.926510832130676,0.976553161142785,0.992932200223445
paraboloid,disk,geodesic,16,stress,0.99988565555094,1.06119566540456,1.26045730464275
paraboloid,disk,geodesic,16,stress_fixed_primary,0.997150093163364,0.999631225178772,1.00403411028097
paraboloid,disk,geodesic,16,stress_fixed_uniform,0.99715323532734,0.999628714585518,1.0039389654178
paraboloid,disk,geodesic,16,stress_primary,0.392743414216913,0.83301979138875,1.33333832404907
paraboloid,disk,geodesic,16,stress_uniform,0.358988098780391,0.785813216390518,1.33381865823868
paraboloid,disk,geodesic,32,classical,1.00109609608128,1.03481089673348,1.12936714754296
paraboloid,disk,geodesic,32,classical_fixed_primary,0.997180930882215,0.99991858904345,1.00604556442214
paraboloid,disk,geodesic,32,classical_fixed_uniform,0.997189326545458,0.999918565350201,1.00544040779562
paraboloid,disk,geodesic,32,classical_primary,0.88471106872452,0.957913787827167,1.21412710283702
paraboloid,disk,geodesic,32,classical_uniform,0.887258764296784,0.968989052869841,1.21955291515527
paraboloid,disk,geodesic,32,full_classical,1.00109609608128,1.05434199366959,1.19730496297712
paraboloid,disk,geodesic,32,full_classical_fixed_primary,0.997177827048126,0.999918588965461,1.00041317735794
paraboloid,disk,geodesic,32,full_classical_fixed_uniform,0.99718660324068,0.999918565364387,1.00039011882132
paraboloid,disk,geodesic,32,full_classical_primary,0.884133138954048,0.957807581230328,1.14012663591475
paraboloid,disk,geodesic,32,full_classical_uniform,0.883007136487497,0.968964982840779,1.13955597547595
paraboloid,disk,geodesic,32,original,0.921669338172747,0.971152352964421,0.998210679616684
paraboloid,disk,geodesic,32,stress,0.999983378714754,1.01691675682602,1.20349924833784
paraboloid,disk,geodesic,32,stress_fixed_primary,0.997174969303392,0.999918589141589,1.00690239189807
paraboloid,disk,geodesic,32,stress_fixed_uniform,0.997191150940566,0.999918571465657,1.00618910516682
paraboloid,disk,geodesic,32,stress_primary,0.884212932613265,0.956759000490922,1.26723994098289
paraboloid,disk,geodesic,32,stress_uniform,0.88733666299458,0.967905308412024,1.26187228744322
paraboloid,disk,geodesic,64,classical,0.954133622824138,1.00476132119813,1.19161963422656
paraboloid,disk,geodesic,64,classical_fixed_primary,0.998912814356196,0.999988956870404,1.00641100570365
paraboloid,disk,geodesic,64,classical_fixed_uniform,0.998895750475444,0.999988935576897,1.00609575730447
paraboloid,disk,geodesic,64,classical_primary,0.982941037221258,0.99457585730494,1.18720123216747
paraboloid,disk,geodesic,64,classical_uniform,0.983813793833237,0.995987669635625,1.19705729149628
paraboloid,disk,geodesic,64,full_classical,1.00027773490771,1.0192779252391,1.15428323660024
paraboloid,disk,geodesic,64,full_classical_fixed_primary,0.998754019527032,0.999988956883179,1.00076436820494
paraboloid,disk,geodesic,64,full_classical_fixed_uniform,0.99881730960383,0.999988935596747,1.00064530416619
paraboloid,disk,geodesic,64,full_classical_primary,0.981126389637058,0.994330698093339,1.09167908910955
paraboloid,disk,geodesic,64,full_classical_uniform,0.982032406969529,0.995959552381589,1.09174049104064
paraboloid,disk,geodesic,64,original,0.919187492173487,0.967344002616937,0.99955387043008
paraboloid,disk,geodesic,64,stress,0.999997712403073,1.00375196340274,1.21123875135094
paraboloid,disk,geodesic,64,stress_fixed_primary,0.998688418289436,0.999988957036186,1.00694572671137
paraboloid,disk,geodesic,64,stress_fixed_uniform,0.998688565667461,0.999988926517946,1.00654769919603
paraboloid,disk,geodesic,64,stress_primary,0.982929879812853,0.99431217854956,1.19824736122638
paraboloid,disk,geodesic,64,stress_uniform,0.983757805498809,0.995944503952269,1.19616341798252
paraboloid,surface_area,ambient,1,classical,1.0,1.18401057460337,1.28644701182249
paraboloid,surface_area,ambient,1,classical_fixed_primary,0.999992898924145,1.00000037765687,1.00113792276959
paraboloid,surface_area,ambient,1,classical_fixed_uniform,0.999992450647416,1.00000083265979,1.00110608610097
paraboloid,surface_area,ambient,1,classical_primary,1.0,1.20976433041006,1.43917258027619
paraboloid,surface_area,ambient,1,classical_uniform,1.0,1.20964132053715,1.43982033993058
paraboloid,surface_area,ambient,1,original,1.0,1.0,1.0
paraboloid,surface_area,ambient,1,stress,1.0,1.07673426201458,1.19180436107817
paraboloid,surface_area,ambient,1,stress_fixed_primary,0.999989364466848,1.00000027670791,1.00097170654529
paraboloid,surface_area,ambient,1,stress_fixed_uniform,0.999994062446108,1.00000043218199,1.00100079574593
paraboloid,surface_area,ambient,1,stress_primary,1.0,1.12593016027915,1.31121660185148
paraboloid,surface_area,ambient,1,stress_uniform,1.0,1.12589222219846,1.31049303452069
