surface,sampling,regime,method,comparison,k240,k480,path_rel_n240,path_rel_n480,path_rel_difference,graph_reference_n240,graph_reference_n480,graph_reference_difference,path_reference_n240,path_reference_n480,path_reference_difference,procrustes_n240,procrustes_n480,procrustes_difference,sigma2_sigma1_n240,sigma2_sigma1_n480,sigma2_sigma1_difference,sigma3_sigma2_n240,sigma3_sigma2_n480,sigma3_sigma2_difference
saddle,disk,geodesic,stress_primary,complete graph,239,479,0.0669875907030201,0.066376040405665,-0.0006115502973551012,1.81488263213939e-10,3.38449130165309e-10,1.5696086695137e-10,0.0685596281161373,0.0702029525019421,0.0016433243858047925,0.806363062905192,0.804139091209466,-0.002223971695725968,0.90976966599932,0.944826660588124,0.03505699458880407,0.898815223890272,0.958278970988379,0.05946374709810698
saddle,disk,geodesic,stress_fixed_primary,complete graph,239,479,0.0664670566446044,0.0660438347638037,-0.00042322188080069767,1.81488263213939e-10,3.38449130165309e-10,1.5696086695137e-10,0.0680401895519795,0.0698758359111406,0.0018356463591611,0.806334914475047,0.804116452031204,-0.00221846244384305,0.910851082812768,0.943891997093198,0.03304091428042999,0.899717371252356,0.958047509232012,0.05833013797965603
saddle,disk,ambient,classical,fixed k=8,8,8,0.0183959526233321,0.029350485932301,0.010954533308968898,0.367229033533551,0.366733209795887,-0.0004958237376639918,0.36719406996352,0.371188073315024,0.003994003351504016,0.0630440723249412,0.0772006429910898,0.014156570666148588,0.0489863223956218,0.0601761866830886,0.011189864287466801,0.601626839818793,0.752591931374272,0.1509650915554791
saddle,disk,ambient,stress,fixed k=8,8,8,0.0054208726227304,0.0108629115657782,0.005442038943047799,0.367229033533551,0.366733209795887,-0.0004958237376639918,0.367023162888799,0.36764444833165,0.0006212854428510051,0.0661125972703621,0.0778104583906357,0.0116978611202736,0.0478472424233255,0.0539740713435784,0.0061268289202529025,0.782822330111116,0.976344113158653,0.19352178304753698
saddle,disk,ambient,stress_primary,fixed k=8,8,8,0.001852476096898,0.0030909143475018,0.0012384382506038,0.367229033533551,0.366733209795887,-0.0004958237376639918,0.367475935888363,0.367178169133073,-0.00029776675529002983,0.065429848604813,0.0755243010348117,0.010094452429998693,0.0474177947089012,0.0529111721375378,0.005493377428636599,0.800122216250505,0.961353273522359,0.16123105727185405
saddle,disk,ambient,stress_fixed_primary,fixed k=8,8,8,0.005257148103991,0.0082155097843791,0.002958361680388099,0.367229033533551,0.366733209795887,-0.0004958237376639918,0.368082445923717,0.369890285715307,0.0018078397915899935,0.0635940269499248,0.0719787115185268,0.008384684568602002,0.0459779880936722,0.0499963717762797,0.004018383682607499,0.79043709252819,0.939356317836227,0.14891922530803692
saddle,disk,ambient,classical,fixed k/n from k=8,8,16,0.0183959526233321,0.0137057866372514,-0.004690165986080701,0.367229033533551,0.36839339924298,0.0011643657094289606,0.36719406996352,0.387127956568924,0.019933886605404016,0.0630440723249412,0.0457055632293883,-0.017338509095552908,0.0489863223956218,0.0424063294727935,-0.0065799929228283,0.601626839818793,0.895265890304181,0.2936390504853881
saddle,disk,ambient,stress,fixed k/n from k=8,8,16,0.0054208726227304,0.0039858893774187,-0.0014349832453117006,0.367229033533551,0.36839339924298,0.0011643657094289606,0.367023162888799,0.371282893994031,0.004259731105232034,0.0661125972703621,0.0414085340143042,-0.024704063256057902,0.0478472424233255,0.0374106007913719,-0.010436641631953597,0.782822330111116,0.837888257439037,0.05506592732792104
saddle,disk,ambient,stress_primary,fixed k/n from k=8,8,16,0.001852476096898,0.0033752415597667,0.0015227654628687001,0.367229033533551,0.36839339924298,0.0011643657094289606,0.367475935888363,0.368179881841122,0.0007039459527589664,0.065429848604813,0.0409344456529208,-0.024495402951892203,0.0474177947089012,0.0358049173078229,-0.011612877401078303,0.800122216250505,0.784457536369319,-0.015664679881185917
saddle,disk,ambient,stress_fixed_primary,fixed k/n from k=8,8,16,0.005257148103991,0.0037678696556212,-0.0014892784483698002,0.367229033533551,0.36839339924298,0.0011643657094289606,0.368082445923717,0.368111507304988,2.9061381270956144e-05,0.0635940269499248,0.0406650497629466,-0.0229289771869782,0.0459779880936722,0.0355451743997419,-0.010432813693930301,0.79043709252819,0.780873708658194,-0.009563383869996
saddle,disk,ambient,classical,fixed k=64,64,64,0.0007886301666617,0.0021702766194225,0.0013816464527608,0.37013643467758,0.370202172220824,6.573754324401548e-05,0.370031458581078,0.370138453104628,0.00010699452355000805,0.0043735371350633,0.0104713079639165,0.006097770828853199,0.0216664881413654,0.0238265885948434,0.002160100453478,0.862361468255613,0.972357847486403,0.10999637923078998
saddle,disk,ambient,stress,fixed k=64,64,64,0.0003680650085247,0.0005545706979018,0.00018650568937710006,0.37013643467758,0.370202172220824,6.573754324401548e-05,0.370067954247395,0.370084188546409,1.62342990139841e-05,0.0029135225862871,0.0055574191006044,0.0026438965143173,0.0208088498135091,0.0201627921963864,-0.0006460576171227021,0.863727056922416,0.970654956954714,0.10692790003229802
saddle,disk,ambient,stress_primary,fixed k=64,64,64,1.864420376312e-05,4.06402792009665e-05,2.1996075437846502e-05,0.37013643467758,0.370202172220824,6.573754324401548e-05,0.370136240801565,0.370200275049995,6.40342484299894e-05,0.0006485135725532,0.0021514508082141,0.0015029372356608998,0.019908544294657,0.0187922803626437,-0.0011162639320132992,0.868502551496119,0.976703412685708,0.10820086118958905
saddle,disk,ambient,stress_fixed_primary,fixed k=64,64,64,1.86451391804786e-05,4.06733990560694e-05,2.20282598755908e-05,0.37013643467758,0.370202172220824,6.573754324401548e-05,0.370136240848474,0.370200174512425,6.393366395096578e-05,0.0006485262153798,0.0021515925168655,0.0015030663014857,0.019908496181406,0.018791824763255,-0.0011166714181509996,0.868503207922146,0.976706853079602,0.10820364515745606
saddle,disk,ambient,classical,fixed k/n from k=64,64,128,0.0007886301666617,0.0007428561795431,-4.5773987118600005e-05,0.37013643467758,0.370338032744627,0.00020159806704700411,0.370031458581078,0.370238592600861,0.00020713401978300627,0.0043735371350633,0.0040962025307286,-0.0002773346043347001,0.0216664881413654,0.0207299788803168,-0.000936509261048598,0.862361468255613,0.946016237995353,0.08365476973973995
