"case","surface","sampling","replicate","n","radius","regime","k","angular_gap_min","angular_gap_q05","angular_gap_median","angular_gap_q95","angular_gap_max","radial_gap_min","radial_gap_q05","radial_gap_median","radial_gap_q95","radial_gap_max"
"saddle-disk-rep1-n480-r64","saddle","disk",1,480,64,"ambient",479,1.19982358592896e-05,0.155577868048295,1.56936403591383,2.98508227007288,3.14155023352031,6.30074107998979e-07,0.0189671860992771,0.222189792068924,0.637875073423439,0.940082260466736
"saddle-disk-rep1-n480-r64","saddle","disk",1,480,64,"ambient",64,1.19982358592896e-05,0.0545689293466166,1.57030592931323,3.0812645461896,3.14154991739108,6.30074107998979e-07,0.0107020215959789,0.122869097791266,0.465274753133385,0.897682145683496
"saddle-disk-rep1-n480-r64","saddle","disk",1,480,64,"ambient",8,0.000130663399494413,0.0341200388533045,0.762548527274714,3.04646344023868,3.14154991739108,1.41259781802905e-05,0.00556810655734511,0.0917472414491708,0.451009461962708,0.750908796889894
"saddle-disk-rep1-n480-r64","saddle","disk",1,480,64,"geodesic",128,1.19982358592896e-05,0.0579181876962182,0.682914450729127,2.81844163811261,3.14148355020496,6.30074107998979e-07,0.0210921412470012,0.246985737434793,0.688693674604744,0.940082260466736
"saddle-disk-rep1-n480-r64","saddle","disk",1,480,64,"geodesic",16,1.19982358592896e-05,0.0249193078161049,0.361283182717931,1.38323140070094,3.13609251162862,6.30074107998979e-07,0.00847053881904465,0.104912795502493,0.458401110661935,0.750908796889894
"saddle-disk-rep1-n480-r64","saddle","disk",1,480,64,"geodesic",479,1.19982358592896e-05,0.155577868048295,1.56936403591383,2.98508227007288,3.14155023352031,6.30074107998979e-07,0.0189671860992771,0.222189792068924,0.637875073423439,0.940082260466736
"saddle-disk-rep1-n480-r64","saddle","disk",1,480,64,"geodesic",64,1.19982358592896e-05,0.0345991066687924,0.467761836306449,2.2838921590958,3.13986609243928,6.30074107998979e-07,0.0152651950634107,0.169900653110276,0.512258667576338,0.934261698780355
"saddle-disk-rep1-n480-r64","saddle","disk",1,480,64,"geodesic",8,1.19982358592896e-05,0.0240169562996067,0.335572517987387,1.28481049681369,3.13609251162862,1.41259781802905e-05,0.00705598599319048,0.0974367669718632,0.452891383287078,0.750908796889894
"saddle-disk-rep2-n240-r1","saddle","disk",2,240,1,"ambient",128,5.69209092398104e-05,0.105224608648265,1.05510550391159,2.78927025056856,3.14154678319784,4.0780702078691e-05,0.0233901222236665,0.285223662576076,0.732137823376319,0.933177634845378
"saddle-disk-rep2-n240-r1","saddle","disk",2,240,1,"ambient",16,5.69209092398104e-05,0.0227392468968735,0.189309579164131,0.780600971471081,3.08759553278145,4.0780702078691e-05,0.0124080367790357,0.118827469048239,0.293557481703089,0.527441860436287
"saddle-disk-rep2-n240-r1","saddle","disk",2,240,1,"ambient",239,5.69209092398104e-05,0.157483463312666,1.56708823816418,2.98660498190064,3.14154678319784,5.9512568009179e-06,0.0186923447946233,0.227919177926965,0.6840499271827,0.933177634845378
"saddle-disk-rep2-n240-r1","saddle","disk",2,240,1,"ambient",32,5.69209092398104e-05,0.0345437768615069,0.299250865500383,0.992248447093787,3.13308094467866,4.0780702078691e-05,0.0149616476592203,0.160396164945342,0.432013934829059,0.665422774193224
"saddle-disk-rep2-n240-r1","saddle","disk",2,240,1,"ambient",4,5.69209092398104e-05,0.0106896170565213,0.0980496458032036,0.421984572160042,1.73904697344093,4.0780702078691e-05,0.00587646582800391,0.0641388586064442,0.167909844237767,0.347020113535796
"saddle-disk-rep2-n240-r1","saddle","disk",2,240,1,"ambient",64,5.69209092398104e-05,0.0542522845089883,0.517352438215247,1.67339342633999,3.14049556122907,4.0780702078691e-05,0.019852342185561,0.225410792096582,0.63449022789698,0.928776639336837
