"case","fit","edge_scale","profiled_uniform_energy","energy_after_halving","edge_relative_rmse","final_gradient","elapsed"
"paraboloid-disk-rep1-n240-r8","ambient-k4-classical_primary.rds",1.47334361704647,1.54133695163453e-05,3.85334237908631e-06,0.00155677257402844,0.000400697566434278,0.0990000000000038
"paraboloid-disk-rep1-n240-r8","ambient-k4-classical_uniform.rds",1.46687375303267,1.37617388617153e-05,3.44043471542882e-06,0.00147748928949597,0.000492296705787366,0.0930000000000035
"paraboloid-disk-rep1-n240-r8","ambient-k4-stress_primary.rds",1.37721978697055,1.31526129894703e-05,3.28815324736758e-06,0.0015384493042673,0.00062539370015728,0.111999999999995
"paraboloid-disk-rep1-n240-r8","ambient-k4-stress_uniform.rds",1.37917250416342,1.29644480759519e-05,3.24111201898798e-06,0.00152524232691624,0.000389536229292563,0.100999999999999
"paraboloid-disk-rep1-n240-r8","geodesic-k239-classical_primary.rds",0.192546751739603,0.34365739014439,0.0859143475360976,0.0254244795590981,0.972967601243333,12.085
"paraboloid-disk-rep1-n240-r8","geodesic-k239-classical_uniform.rds",0.21709088397964,0.436752830569005,0.109188207642251,0.025421530954933,1.07666488593464,12.26
"paraboloid-disk-rep1-n240-r8","geodesic-k239-full_classical_primary.rds",0.192546751739603,0.34365739014439,0.0859143475360976,0.0254244795590981,0.972967601243333,10.337
"paraboloid-disk-rep1-n240-r8","geodesic-k239-full_classical_uniform.rds",0.21709088397964,0.436752830569005,0.109188207642251,0.025421530954933,1.07666488593464,9.488
"paraboloid-disk-rep1-n240-r8","geodesic-k239-stress_primary.rds",0.189371988427456,0.330800966408679,0.0827002416021698,0.0253625589701045,0.457973906838992,11.773
"paraboloid-disk-rep1-n240-r8","geodesic-k239-stress_uniform.rds",0.179788129436428,0.299277687309122,0.0748194218272805,0.0254098194977961,0.821387412629489,10.96
"paraboloid-disk-rep1-n240-r8","geodesic-k32-classical_primary.rds",0.910301735315037,0.060366999420799,0.0150917498551998,0.0216181074136605,0.0488892953372351,1.196
"paraboloid-disk-rep1-n240-r8","geodesic-k32-classical_uniform.rds",0.956048716461742,0.0667181927071626,0.0166795481767906,0.0216394072433415,0.103208742716828,1.275
"paraboloid-disk-rep1-n240-r8","geodesic-k32-full_classical_primary.rds",0.907700487551886,0.0602580545543317,0.0150645136385829,0.0216604876925902,0.133345724594909,1.193
"paraboloid-disk-rep1-n240-r8","geodesic-k32-full_classical_uniform.rds",0.950437153925233,0.0658335604316493,0.0164583901079123,0.0216223808594525,0.0658154792776931,1.134
"paraboloid-disk-rep1-n240-r8","geodesic-k32-stress_primary.rds",0.900089968193048,0.0592362021705555,0.0148090505426389,0.0216576299151632,0.12832377427533,1.209
"paraboloid-disk-rep1-n240-r8","geodesic-k32-stress_uniform.rds",0.943241978171568,0.0648364080644344,0.0162091020161086,0.0216216881545138,0.0603368949318896,1.221
"paraboloid-disk-rep1-n240-r8","geodesic-k4-classical_primary.rds",1.5077585254586,5.90410024518336e-05,1.47602506129584e-05,0.00295803456457768,0.000844057969986239,0.108000000000001
"paraboloid-disk-rep1-n240-r8","geodesic-k4-classical_uniform.rds",1.50762122395613,3.95855690600541e-05,9.89639226501351e-06,0.00242233597671344,0.000824394060676969,0.125
"paraboloid-disk-rep1-n240-r8","geodesic-k4-full_classical_primary.rds",1.21493364795517,9.3141669949396e-06,2.3285417487349e-06,0.00145806748683884,0.000343369222587155,0.125
"paraboloid-disk-rep1-n240-r8","geodesic-k4-full_classical_uniform.rds",1.21476868147148,7.06540568823204e-06,1.76635142205801e-06,0.00127008603560561,0.000220377042429026,0.106
"paraboloid-disk-rep1-n240-r8","geodesic-k4-stress_primary.rds",1.40836785200642,1.67708098132882e-05,4.19270245332205e-06,0.00168779264386766,0.000752608480259286,0.117000000000001
"paraboloid-disk-rep1-n240-r8","geodesic-k4-stress_uniform.rds",1.40747822827501,1.40476163427881e-05,3.51190408569703e-06,0.00154567367036041,0.000647444288187167,0.115
"paraboloid-surface_area-rep1-n240-r1","geodesic-k239-classical_primary.rds",2.20867297100723e-05,2.83795415596131e-08,7.09488538990328e-09,0.0636937319247562,0.000434351113809564,11.971
"paraboloid-surface_area-rep1-n240-r1","geodesic-k239-classical_uniform.rds",8.41743405222059e-06,4.08241346291957e-09,1.02060336572989e-09,0.0633875834899901,0.000110955718248699,11.732
"paraboloid-surface_area-rep1-n240-r1","geodesic-k239-full_classical_primary.rds",2.20867297100723e-05,2.83795415596131e-08,7.09488538990328e-09,0.0636937319247562,0.000434351113809564,10.142
"paraboloid-surface_area-rep1-n240-r1","geodesic-k239-full_classical_uniform.rds",8.41743405222059e-06,4.08241346291957e-09,1.02060336572989e-09,0.0633875834899901,0.000110955718248699,9.267
"paraboloid-surface_area-rep1-n240-r1","geodesic-k239-stress_primary.rds",1.94013568374895e-05,2.16848471301519e-08,5.42121178253799e-09,0.0633828120606688,0.000253448342148918,11.362
"paraboloid-surface_area-rep1-n240-r1","geodesic-k239-stress_uniform.rds",1.4997809887089e-07,1.29821764206164e-12,3.2455441051541e-13,0.063441191873139,2.16766790548475e-06,10.626
"paraboloid-surface_area-rep1-n240-r1","geodesic-k32-classical_primary.rds",1.20120577437972,0.00245473590389331,0.000613683975973327,0.00286773407980663,0.00253371563173656,1.149
"paraboloid-surface_area-rep1-n240-r1","geodesic-k32-classical_uniform.rds",1.19932568695349,0.00243746820485272,0.000609367051213181,0.00286210950231131,0.00178815361657126,1.052
