"replicate","k","method","alignment","sample_size","seed","subdivisions","coordinate_relative_rmse","coordinate_rmse","alignment_scale","surface_rms","surface_mc_se","surface_forward_rms","surface_reverse_rms","area","reference_area","zero_area_faces"
2,80,"Classical MDS + edge-KK","similarity",8000,1903,2,0.287288259186546,0.265046578040847,0.937539077221133,0.203749889944057,0.0010167768992975,0.207578771054419,0.19984766476486,6.46251435570656,6.46563463579793,0
2,80,"Stress MDS + edge-KK","rigid",8000,1903,2,0.166266943995208,0.153394658981256,1,0.112453952373091,0.000482230001213246,0.120186012283342,0.104149437156844,7.65755141759664,6.46563463579793,0
2,80,"Stress MDS + edge-KK","similarity",8000,1903,2,0.156528678450843,0.14441032399348,0.946282935757027,0.10546552314626,0.000435291073385436,0.109927853643022,0.100805853691475,6.8569650953802,6.46563463579793,0
3,32,"Original saddle","rigid",8000,1904,2,2.8557931254801e-16,2.71907381243011e-16,1,0.0471108510727626,0.000815925720848296,0.066385505558987,0.00564173991581916,7.99928938894063,6.74592761052731,0
3,32,"Original saddle","similarity",8000,1904,2,4.24169993337792e-16,4.03863119710239e-16,1,0.0471108510727627,0.000815925720848296,0.0663855055589871,0.00564173991581905,7.99928938894064,6.74592761052731,0
3,32,"Classical MDS","rigid",8000,1904,2,0.438819890930834,0.417811662601744,1,0.354017518530152,0.00150822168594853,0.344388861512483,0.36339113764459,6.95360722138293,6.74592761052731,0
3,32,"Classical MDS","similarity",8000,1904,2,0.416351223978248,0.396418669052633,0.867709608680508,0.326640519175322,0.00141816668852453,0.28595500598125,0.362791664855341,5.2355097057229,6.74592761052731,0
3,32,"Stress MDS","rigid",8000,1904,2,0.418102548325267,0.398086149839866,1,0.338348228357544,0.00141113828187481,0.347096084762845,0.329368115044066,7.62247473660485,6.74592761052731,0
3,32,"Stress MDS","similarity",8000,1904,2,0.391649565853459,0.372899587389662,0.862765233373411,0.306361152159941,0.00128528153159853,0.284352959597235,0.326890968785964,5.673894625596,6.74592761052731,0
3,32,"Classical MDS + edge-KK","rigid",8000,1904,2,0.474584201714046,0.451863779333377,1,0.363143632874427,0.00154758397037159,0.383879788374011,0.341149387032128,8.33794190914615,6.74592761052731,0
3,32,"Classical MDS + edge-KK","similarity",8000,1904,2,0.452354609927244,0.43069841537574,0.861359621739669,0.327259151973124,0.00138321995131033,0.318068480276548,0.336198671851784,6.18625593826851,6.74592761052731,0
3,32,"Stress MDS + edge-KK","rigid",8000,1904,2,0.445491915225804,0.424164267898845,1,0.332987347403943,0.0014110120675416,0.360315101256921,0.303206488829714,8.76582966072111,6.74592761052731,0
3,32,"Stress MDS + edge-KK","similarity",8000,1904,2,0.41973322465303,0.399638758556447,0.858753484427036,0.296165121420344,0.0012323019509838,0.296606593409717,0.295722990377374,6.46442723915175,6.74592761052731,0
3,62,"Original saddle","rigid",8000,1904,2,2.8557931254801e-16,2.71907381243011e-16,1,0.0471108510727626,0.000815925720848296,0.066385505558987,0.00564173991581916,7.99928938894063,6.74592761052731,0
3,62,"Original saddle","similarity",8000,1904,2,4.24169993337792e-16,4.03863119710239e-16,1,0.0471108510727627,0.000815925720848296,0.0663855055589871,0.00564173991581905,7.99928938894064,6.74592761052731,0
3,62,"Classical MDS","rigid",8000,1904,2,0.427680800158038,0.407205848845714,1,0.346325527981281,0.00148526762903201,0.332812078540681,0.359331132857227,6.79136740124198,6.74592761052731,0
3,62,"Classical MDS","similarity",8000,1904,2,0.407699747566694,0.388181376673284,0.87604806270744,0.321323350467234,0.00140397781773468,0.279150359930351,0.358570031739594,5.21210423953962,6.74592761052731,0
3,62,"Stress MDS","rigid",8000,1904,2,0.279629558892114,0.266242468329042,1,0.241500133843444,0.00103648860807168,0.250626588586048,0.232014961557487,7.59497276085765,6.74592761052731,0
3,62,"Stress MDS","similarity",8000,1904,2,0.262653641678587,0.250079262554282,0.909555717056445,0.221075038218807,0.000950345313363836,0.214984939807807,0.227001807708062,6.28325718574263,6.74592761052731,0
3,62,"Classical MDS + edge-KK","rigid",8000,1904,2,0.487360938026453,0.464028837371168,1,0.355656781366442,0.00157071153052731,0.385933266914442,0.32255078011473,8.40119169274501,6.74592761052731,0
3,62,"Classical MDS + edge-KK","similarity",8000,1904,2,0.46740969123216,0.445032744061863,0.864961124416556,0.319250594143934,0.00138592286024073,0.321837870153131,0.316642178267214,6.28541664687532,6.74592761052731,0
3,62,"Stress MDS + edge-KK","rigid",8000,1904,2,0.280581041616699,0.267148399412185,1,0.196214339167857,0.000925382962797641,0.217482760711537,0.172340890630882,8.85785536536648,6.74592761052731,0
3,62,"Stress MDS + edge-KK","similarity",8000,1904,2,0.267951646024815,0.255123628249905,0.920478433396477,0.181512742257956,0.000850909198572389,0.193297841651836,0.16890735808942,7.50508853343958,6.74592761052731,0
3,67,"Original saddle","rigid",8000,1904,2,2.8557931254801e-16,2.71907381243011e-16,1,0.0471108510727626,0.000815925720848296,0.066385505558987,0.00564173991581916,7.99928938894063,6.74592761052731,0
3,67,"Original saddle","similarity",8000,1904,2,4.24169993337792e-16,4.03863119710239e-16,1,0.0471108510727627,0.000815925720848296,0.0663855055589871,0.00564173991581905,7.99928938894064,6.74592761052731,0
3,67,"Classical MDS","rigid",8000,1904,2,0.425376960730394,0.405012304292413,1,0.344088994370985,0.00147883242703972,0.329597751027462,0.357994126505046,6.7844776944368,6.74592761052731,0
3,67,"Classical MDS","similarity",8000,1904,2,0.405728246068395,0.386304259578436,0.87733583344382,0.319565780945903,0.00139922678436694,0.276925443149008,0.357151054373154,5.22213571903388,6.74592761052731,0
3,67,"Stress MDS","rigid",8000,1904,2,0.277427685542738,0.264146008291668,1,0.239851780957888,0.00103259945712342,0.248789382090168,0.230567987839885,7.59175671129908,6.74592761052731,0
