"start","initialization","initial_raw_stress","raw_stress","normalized_stress","iterations","converged","termination","backend_stress","warnings","error","replicate","k","selected","elapsed"
1,"classical",1307.03392988425,847.251523216025,0.000831164224857682,62,TRUE,"stress_tolerance",0.0288299189186804,"","",3,72,FALSE,2.31299999999999
2,"random",300627.120900882,855.20533018989,0.000838967007888401,305,TRUE,"stress_tolerance",0.0289649272032302,"","",3,72,FALSE,6.99400000000003
3,"random",295740.95135461,859.280314623375,0.000842964618025598,272,TRUE,"stress_tolerance",0.0290338529655571,"","",3,72,FALSE,6.49900000000002
4,"random",304100.93379471,835.030675410296,0.0008191754219872,283,TRUE,"stress_tolerance",0.0286212407485622,"","",3,72,TRUE,6.64600000000002
5,"random",299286.747252671,842.654623028574,0.000826654608909695,263,TRUE,"stress_tolerance",0.0287516018494567,"","",3,72,FALSE,6.36099999999999
6,"random",297254.370541183,839.667813033979,0.000823724511357871,245,TRUE,"stress_tolerance",0.028700601236871,"","",3,72,FALSE,5.90199999999999
1,"classical",1308.47455296298,849.759053897635,0.000834508082350022,73,TRUE,"stress_tolerance",0.0288878535434882,"","",3,80,FALSE,2.899
2,"random",300309.096043152,852.046261023185,0.000836754240038516,312,TRUE,"stress_tolerance",0.0289267046176801,"","",3,80,FALSE,7.06799999999998
3,"random",295426.846116926,862.428136901655,0.000846949788165717,273,TRUE,"stress_tolerance",0.0291024017594028,"","",3,80,FALSE,6.269
4,"random",303784.485642872,832.070942228418,0.000817137426419065,284,TRUE,"stress_tolerance",0.0285856157257292,"","",3,80,TRUE,6.28800000000001
5,"random",298971.856796596,844.419559308469,0.000829264417843142,288,TRUE,"stress_tolerance",0.0287969515373258,"","",3,80,FALSE,6.483
6,"random",296945.209311789,833.417380894126,0.00081845970000211,242,TRUE,"stress_tolerance",0.0286087346802007,"","",3,80,FALSE,5.62600000000003
1,"classical",1202.32480757797,798.352966819239,0.000815360962504182,57,TRUE,"stress_tolerance",0.0285545261299182,"","",4,32,TRUE,2.28999999999999
2,"random",287951.686439469,813.627978415835,0.000830961390729914,327,TRUE,"stress_tolerance",0.0288264009326509,"","",4,32,FALSE,7.821
3,"random",285444.343391511,815.488954125506,0.000832862012395892,289,TRUE,"stress_tolerance",0.0288593487867608,"","",4,32,FALSE,6.839
4,"random",292477.166517927,800.633913847838,0.000817690502497087,361,TRUE,"stress_tolerance",0.0285952881170498,"","",4,32,FALSE,8.101
5,"random",284820.201076391,805.081357934374,0.000822232694286678,300,TRUE,"stress_tolerance",0.0286746001591423,"","",4,32,FALSE,6.727
6,"random",288852.222832445,815.925936210868,0.000833308303884151,256,TRUE,"stress_tolerance",0.02886707993345,"","",4,32,FALSE,5.84300000000002
