"replicate","k","edges","bridges","components_before","graph_seconds","xg_error","xg_profiled_error","fitted_scale","mean_pair_relative_bias","fraction_shorter","coarse_error","sources32_error","sources64_error","fine16_error","fine128_error","medium16_error"
1,41,22839,0,1,0.578,0.00506156055169456,0.00353787230048752,1.00360726917113,0.00364490231918068,0.180318011758418,0.00500148156300865,0.00521193783468811,0.00509477448339858,0.00531656400304928,NA,0.00530026561119595
1,42,23399,0,1,0.451,0.00476225473212992,0.00337440387349423,1.00334904054008,0.00337390446510067,0.191775788348477,0.00470332642955998,0.00491697429536228,0.00485233442797682,0.00507153166258688,NA,0.00505541397157491
1,43,23957,0,1,0.452,0.004396809842727,0.00318480018183748,1.00302119254448,0.00306651358985787,0.206340192410476,0.00433933191934891,0.00435669815303699,0.00439795469996726,0.00435413997012135,NA,0.00433830192370945
1,44,24517,0,1,0.462,0.004235511393678,0.0031377764159266,1.00283513831814,0.00288591692385158,0.220679115446285,0.00417954683699394,0.00420081329968798,0.00424209904532425,0.00417476001379549,NA,0.00415927341117992
1,45,25059,0,1,0.466,0.00405036041318713,0.00305441193718771,1.00265074738617,0.00271220634332169,0.23468399251737,0.00399580754992042,0.00398392729856871,0.0040452405022406,0.00399686538426109,NA,0.0039817909169734
1,46,25628,0,1,0.475,0.00391297611268588,0.00300332272619208,1.00249925828257,0.00255988543459912,0.248095938001069,0.00385977420376722,0.00386619415641892,0.0039299119836656,0.00387621345016427,NA,0.00386149733493293
1,47,26171,0,1,0.486,0.00378267705507683,0.00294824978282326,1.00236122259232,0.00241578176880189,0.259887760555852,0.0037306480565673,0.00372743221789024,0.00380277635442729,0.00374143518047839,NA,0.00372707141859596
1,48,26739,0,1,0.497,0.00359423244880823,0.00285378708909602,1.00217690369697,0.00222904002031462,0.275972073757349,0.00354358289482106,0.00354297880291259,0.00360264495053197,0.00354847725340682,NA,0.00353455852673642
1,49,27304,0,1,0.496,0.00345258270574836,0.00279474109632773,1.00201944833431,0.0020681694252843,0.292223409941208,0.00340372972131443,0.00341566898040486,0.00349009097151596,0.00339738114115792,NA,0.00338384321264994
1,50,27875,0,1,0.499,0.00333515285679583,0.00273768428469375,1.00189733014984,0.00193896838742945,0.304583110636024,0.003287383976844,0.00329842724926878,0.00338026778259205,0.00325338469843965,NA,0.00324008746989051
1,51,28434,0,1,0.502000000000001,0.00322339112010709,0.00270532010686564,1.00174525783328,0.00179039220999639,0.321853287012293,0.00317785731525788,0.00315902511258721,0.00325748511977906,0.00310905248083076,NA,0.00309657335878391
1,52,29014,0,1,0.521,0.00313033918788823,0.00268555980517469,1.00160114888795,0.00163726405374445,0.341578701229289,0.00308731539153915,0.00306280045095874,0.00316020622004774,0.00302278811429073,NA,0.00301096780162019
1,53,29571,0,1,0.515000000000001,0.00303049260294719,0.00264872216406173,1.00146546193378,0.00149253188796787,0.360477351683592,0.00298976438254173,0.00296594554586621,0.00308262386733665,0.00289756273157292,NA,0.00288647925565247
1,54,30137,0,1,0.521,0.00297036697816448,0.00263259117367241,1.00136877973292,0.00138550459722646,0.374540686798503,0.0029314892157569,0.0029171902931007,0.003019964415009,0.00284702015545534,NA,0.0028363501934963
1,55,30711,0,1,0.53,0.00288523361262815,0.00259734857585795,1.00124959304676,0.00126127629839351,0.391760756280064,0.00284845769234819,0.00284808546407095,0.00293628095993671,0.00278407458770019,NA,0.00277390639950641
1,56,31282,0,1,0.529999999999999,0.00279345934569504,0.00254932729015313,1.00113559520868,0.00113312133748685,0.405414885088188,0.00275882485162229,0.00274858914777876,0.00282411473105905,0.0026846690820244,NA,0.00267514484690664
1,57,31837,0,1,0.534000000000001,0.00272162464651596,0.00251985277708688,1.00102205511814,0.00102140554378586,0.421265366114377,0.00268978792433142,0.00268500944316169,0.0027669789850646,0.00262214084815021,NA,0.00261343070982872
1,58,32397,0,1,0.542,0.00267146442084199,0.00249952324339679,1.00093669419437,0.00092731024209032,0.435620991448423,0.00264154803056195,0.00264441692913128,0.00272401030323126,0.00258372010759778,NA,0.0025756333100772
1,59,32976,0,1,0.545,0.00255047336393001,0.00242030843206863,1.00079853756538,0.000795094966298097,0.453500801710315,0.00252395837674537,0.00252239118777546,0.00257872085223625,0.00248630830101283,NA,0.00247909040002395
1,60,33539,0,1,0.555,0.00247218568419474,0.00237009036946352,1.00069752029618,0.000697084293964241,0.465701830571887,0.00244825025140219,0.00245127806166292,0.00249510337461993,0.0024103007507434,NA,0.00240396131992073
